Name:           Shotgun
MinDamage:      8.0
MaxDamage:      10.0
DamageRadius:   5.0
ShotAngle:      0.0
Missiles:       1
SeriesLength:   1
MaxAmmo:        30
InitialAmmo:    30
PackAmmo:       20
ShotTime:       500
ReloadTime:     500
MissileSpeed:   150.0
MissileLength:  5.0
ExplosionSpeed: 10.0
StopsAtTarget:  False
ColorR:         31
ColorG:         31
ColorB:         31

Name:           Railgun
MinDamage:      25.0
MaxDamage:      30.0
DamageRadius:   15.0
ShotAngle:      120.0
Missiles:       5
SeriesLength:   1
MaxAmmo:        10
InitialAmmo:    10
PackAmmo:       5
ShotTime:       500
ReloadTime:     1500
MissileSpeed:   180.0
MissileLength:  25.0
ExplosionSpeed: 15.0
StopsAtTarget:  False
ColorR:         63
ColorG:         63
ColorB:         63

Name:           Chaingun
MinDamage:      2.0
MaxDamage:      4.0
DamageRadius:   15.0
ShotAngle:      0.0
Missiles:       1
SeriesLength:   20
MaxAmmo:        100
InitialAmmo:    100
PackAmmo:       50
ShotTime:       0
ReloadTime:     4000
MissileSpeed:   100.0
MissileLength:  12.0
ExplosionSpeed: 10.0
StopsAtTarget:  False
ColorR:         63
ColorG:         63
ColorB:         127

Name:           RocketLauncher
MinDamage:      25.0
MaxDamage:      50.0
DamageRadius:   125.0
ShotAngle:      0.0
Missiles:       1
SeriesLength:   1
MaxAmmo:        5
InitialAmmo:    3
PackAmmo:       3
ShotTime:       2000
ReloadTime:     5000
MissileSpeed:   120.0
MissileLength:  15.0
ExplosionSpeed: 150.0
StopsAtTarget:  True
ColorR:         127
ColorG:         63
ColorB:         63
